FINCA;GRUPO;2024-01;2024-02;2024-03;2024-04;2024-05;2024-06;2024-07;2024-08;2024-09;2024-10;2024-11;2024-12;2024-01;2024-02;2024-03;2024-04;2024-05;2024-06;2024-07;2024-08;2024-09;2024-10;2024-11;2024-12;2024-01;2024-02;2024-03;2024-04;2024-05;2024-06;2024-07;2024-08;2024-09;2024-10;2024-11;2024-12;2024-01;2024-02;2024-03;2024-04;2024-05;2024-06;2024-07;2024-08;2024-09;2024-10;2024-11;2024-12
NARANJOS;COSECHA;15167506.043884;12465244.183852;14978988.092524;20124526.74576;20024101.11168;16391923.285920002;18959121.137280002;17691802.27584;20632705.730592;27159666.280224003;22608367.293504;18944674.95408;3809380.35897586;1980057.568174573;5029487.117647916;3196706.049328268;5029133.81147052;4747356.763173386;4761659.792640783;4443367.545691201;4070994.60105873;5567735.770034527;5678182.693133927;4612303.1870505875;7376315.744791627;5614888.7910127295;7777294.314193823;9064963.18745081;9738192.414628606;8216838.155082599;9220267.54746021;8603940.509629177;9602328.318912638;12721141.176935488;10994981.979806162;9156597.403457459;26353202.14765149;20060190.543039303;27785769.524365738;32386195.98253908;34791427.33777913;29356118.204175986;32941048.477380995;30739110.331160374;34306028.65056337;45448543.22719402;39281531.96644409;32713575.54458805
YUNQUE;COSECHA;14282771.2996386;10490479.234614601;16182188.5993506;19748284.837056;13976964.696384;13210254.611520002;17077646.102784;17943330.564096;18653823.060768;19427519.270400003;15652217.166912;13006953.07344;3587175.6571692;1666373.5179119427;5433485.132176822;3136941.4247604734;3510371.0945263566;3825895.8683091504;4289119.744093874;4506539.890454868;3680545.5358623234;3982644.442269968;3931117.513818435;3166695.193232895;6946048.382111192;4725368.664907067;8402012.379444709;8895487.447968064;6797327.421926855;6621951.6915095905;8305261.884681429;8726264.645683922;8681369.073510207;9099530.635114817;7612042.19039992;6286697.081255755;24815995.33891899;16882221.417433612;30017686.11097213;31780713.709784538;24284663.21283721;23658102.171338744;29672027.731559303;31176135.100234788;31015737.67014053;32509694.347784787;27195376.871130355;22460345.34792865
DONAMA;COSECHA;24773127.024048;19613832.69432;18631829.428272;11263774.044288;12497908.645632;13763382.31872;12766730.44176;0.0;0.0;0.0;0.0;0.0;6221870.836430325;3115584.2031244477;6255999.771738734;1789208.5155855117;3138900.197909771;3986090.2833190137;3206415.876972087;0.0;0.0;0.0;0.0;0.0;12047755.668367926;8834924.348036656;9673899.210044174;5073694.321022834;6078027.597484686;6899220.000412565;6208761.974091162;0.0;0.0;0.0;0.0;0.0;43042753.52884625;31564341.245481104;34561728.41005491;18126676.880896345;21714836.44102646;24648692.602451578;22181908.29282325;0.0;0.0;0.0;0.0;0.0
BURDEOS;COSECHA;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
DON MARCE SUR 2;COSECHA;20618097.606190402;16429663.993204799;21473870.441300802;14369646.029011201;12840619.3615808;11776305.996672;13568920.576736;14991861.616832;16946957.9101248;18549959.467264;16476463.9439552;14522555.587744;5178318.428436658;2609790.8755332157;7210270.4190322915;2282564.7016680334;3224973.377400762;3410601.9741149833;3407889.1670106943;3765266.5522208423;3343767.659817639;3802744.547482878;4138130.4185328265;3535686.391232876;10027066.912659537;7400636.107478466;11149525.552411472;6472714.311015017;6244695.897642133;5903151.1282449;6598885.947394339;7290895.71931084;7887005.029036625;8688496.050532112;8012892.828699096;7019238.657228312;35823482.94728659;26440090.97621648;39833666.41274457;23124925.04169425;22310288.63662369;21090059.099031884;23575695.691141035;26048023.888363685;28177730.598979063;31041200.065278992;28627487.191187125;25077480.63620519
LAS MARGARITAS;COSECHA;22431403.364864;19757033.155584;30032169.432832;32353156.295936;29671840.786944002;23785349.1968;28228675.928832;31694916.135168;34603940.041728005;37351880.94310401;26390239.081728;22360149.3824;5633737.488229575;3138331.062544915;10083886.063894741;5139178.265042762;7452202.569190403;6888608.273982148;7089745.890462207;7960306.108028965;6827628.665122863;7657141.345525986;6628015.056380922;5443840.472816341;10908920.249597471;8899428.07158671;15593110.771577684;14573270.443852443;14430115.652529443;11922967.26889302;13728270.561159655;15413984.885930661;16104450.756352931;17495006.963590477;12834195.383482937;10807410.85672259;38974061.10269105;31794792.289715625;55709166.26830443;52065605.00483121;51554159.00866384;42596924.739675164;49046692.38045386;55069207.12912763;57536019.46320379;62504029.25222047;45852449.52159186;38611400.71193893
LA CECILIA;COSECHA;11684961.992608;11058482.36;13113432.326432;11895366.812576;11705962.084224;12303104.64576;17023230.612224;21009529.564735997;20551647.916768;18857389.866848;13549735.901504;10716234.49488;2934725.3649501014;1756598.6968637619;4403090.418828424;1889534.6722502203;2939999.6227158303;3563171.0830569887;4275453.074018809;5276628.14464477;4055001.258897994;3865767.826741879;3403070.858396828;2608992.903479285;5682672.475882834;4981222.006802944;6808672.391082726;5358191.207151951;5692885.315487512;6167221.375791163;8278798.348842581;10217429.501636304;9564604.534581373;8832491.395498386;6589555.987573452;5179515.889742253;20302359.833440937;17796303.063666705;24325195.13634315;19143092.69197817;20338847.022427343;22033497.104608152;29577482.03508539;36503587.21101707;34171253.71024737;31555649.08908826;23542362.74747428;18504743.28810154
JOSEFINA;COSECHA;21047735.386368003;17269337.923584;24433217.539327998;20907542.472448;20530352.047872;18840462.690560002;22190342.527232;23227083.624448;24821513.861376;26286747.124992;20472036.527872;17714363.87328;5286223.690946344;2743169.9490695396;8203928.8700731285;3321085.178430028;5156280.777323918;5456491.981766;5573194.085936757;5833575.796789624;4897479.285518158;5388787.208782418;5141634.5991144795;4312769.532723338;10236009.893352086;7778861.810100431;12686058.809334219;9417667.56789629;9984394.179153653;9444226.281133115;10791686.681538695;11295878.317035066;11551772.636197759;12312280.195538115;9956033.967059646;8561946.754913498;36569968.97066643;27791369.682753973;45323205.218735345;33646295.21877432;35671027.004349574;33741180.953459114;38555223.294707455;40356537.73827269;41270765.78309192;43987814.529312536;35569705.09404612;30589080.160916835
SAN ALFREDO;COSECHA;10985350.209472;10151436.658272;15273264.156576;16328543.743264;12620402.828896;9803242.1768;11916419.960672;11655363.497248;11609732.042655999;14065543.212256;11065607.852128;9700941.7688;2759015.0419823383;1612517.8686106454;5128296.040122482;2593728.3008064115;3169665.106423048;2839171.904192207;2992856.9677937343;2927291.5833809106;2290691.152315243;2883438.5246061347;2779172.072855239;2361807.988053774;5342434.773240302;4572649.1245992845;7930086.4484567;7355087.143530169;6137599.406458515;4914106.353281671;5795235.942094631;5668278.029840457;5403094.495885322;6588069.201118312;5381465.956840985;4688790.830489062;19086800.02469464;16336603.65148193;28331646.645155184;26277359.18760058;21927667.341777563;17556520.434273876;20704512.870560367;20250933.110469367;19303517.69085656;23537050.937980447;19226245.881824225;16751540.587342836
VICTORIA;COSECHA;56991549.059328;45337886.091008;56834653.519104;51703862.740992;49226056.947968;44704217.32224;56639124.346368;58898744.933632;57790366.028544;60310998.136832014;48015480.649983995;42016910.15552;14313657.564142233;7201754.185917274;19083342.342262987;8212965.844406282;12363322.878848007;12947038.901127802;14225144.675096188;14792657.505416231;11402492.293901395;12363763.905944275;12059281.755723385;10229509.299582187;27716333.81454288;20422158.175640855;29509324.99131335;23289671.271144312;23939791.938683383;22409043.294023063;27544941.368643127;28643848.128058046;26895264.029934525;28248680.00602714;23351060.147098456;20308183.24219822;99021540.43801312;72961798.45256613;105427320.85268033;83206499.8565426;85529171.76549938;80060299.51739086;98409210.3901073;102335250.56710628;96088122.35237992;100923442.04880342;83425822.55280584;72554602.69730042
