ID;FINCA;GRUPO;LABOR;MAESTRA;TARIFA;REF;PROMEDIADO;PRESTACIONES;FACTOR
100003;PIEDECUESTA;COSECHA;PRE CALIBRACION X CONTRATO;ORG SUR;133.43088;RACIMO CORTADO;G04;0.3887;1
100003;NÁUTICA;COSECHA;PRE CALIBRACION X CONTRATO;CESAR;145.45168;RACIMO CORTADO;G05;0.3887;1
100003;LAS LINAS;COSECHA;PRE CALIBRACION X CONTRATO;LINAS;145.45168;RACIMO CORTADO;G04;0.3887;1
100003;DON ALÍ;COSECHA;PRE CALIBRACION X CONTRATO;ORG NORTE;141.856368;RACIMO CORTADO;G04;0.3887;1
100003;DR4 DON ALÍ;COSECHA;PRE CALIBRACION X CONTRATO;ORG NORTE;141.856368;RACIMO CORTADO;G04;0.3887;1
100003;DON CARLOS;COSECHA;PRE CALIBRACION X CONTRATO;ORG NORTE;141.856368;RACIMO CORTADO;G04;0.3887;1
100003;EVA NORTE;COSECHA;PRE CALIBRACION X CONTRATO;ORG NORTE;141.856368;RACIMO CORTADO;G05;0.3887;1
100003;DON PEDRO;COSECHA;PRE CALIBRACION X CONTRATO;ORG NORTE;141.856368;RACIMO CORTADO;G04;0.3887;1
100003;LA VELA;COSECHA;PRE CALIBRACION X CONTRATO;ORG NORTE;141.856368;RACIMO CORTADO;G04;0.3887;1
100003;ESPERANZA;COSECHA;PRE CALIBRACION X CONTRATO;ORG NORTE;141.856368;RACIMO CORTADO;G04;0.3887;1
100003;LINA MARGARITA;COSECHA;PRE CALIBRACION X CONTRATO;PLAT;109.28;RACIMO CORTADO;G04;0.3887;1
100003;DON MARCE;COSECHA;PRE CALIBRACION X CONTRATO;PLAT;109.28;RACIMO CORTADO;G04;0.3887;1
100004;ENANO;COSECHA;BOTADA DE VASTAGO X CONTRATO;REG SUR;38.35728;RACIMO CORTADO;G04;0.3887;1
100004;EVA;COSECHA;BOTADA DE VASTAGO X CONTRATO;REG SUR;38.35728;RACIMO CORTADO;G04;0.3887;1
100004;SAMI;COSECHA;BOTADA DE VASTAGO X CONTRATO;REG SUR;38.35728;RACIMO CORTADO;G04;0.3887;1
100004;VEGA;COSECHA;BOTADA DE VASTAGO X CONTRATO;REG SUR;38.35728;RACIMO CORTADO;G04;0.3887;1
100004;FEDERICA;COSECHA;BOTADA DE VASTAGO X CONTRATO;REG SUR;38.35728;RACIMO CORTADO;G04;0.3887;1
100004;NEERLANDIA;COSECHA;BOTADA DE VASTAGO X CONTRATO;SG;40.292986;RACIMO CORTADO;G04;0.3887;1
100004;SAN ANTONIO;COSECHA;BOTADA DE VASTAGO X CONTRATO;SG;40.292986;RACIMO CORTADO;G04;0.3887;1
100004;MRS;COSECHA;BOTADA DE VASTAGO X CONTRATO;REG SUR;38.35728;RACIMO CORTADO;G04;0.3887;1
100004;DON FUAD;COSECHA;BOTADA DE VASTAGO X CONTRATO;REG SUR;38.35728;RACIMO CORTADO;G04;0.3887;1
100004;EUFEMIA;COSECHA;BOTADA DE VASTAGO X CONTRATO;EUF;38.26392057;RACIMO CORTADO;G04;0.3887;1
100004;OLGA;COSECHA;BOTADA DE VASTAGO X CONTRATO;EUF;38.26392057;RACIMO CORTADO;G04;0.3887;1
100004;DON SAID;COSECHA;BOTADA DE VASTAGO X CONTRATO;CONT03;15;RACIMO CORTADO;G04;0.3887;1
100004;ASUNTINA;COSECHA;BOTADA DE VASTAGO X CONTRATO;CONT02;28.71353856;RACIMO CORTADO;G04;0.3887;1
100004;PORLAMAR;COSECHA;BOTADA DE VASTAGO X CONTRATO;REG SUR;38.35728;RACIMO CORTADO;G05;0.3887;1
100004;EL MORRO;COSECHA;BOTADA DE VASTAGO X CONTRATO;REG SUR;38.35728;RACIMO CORTADO;G04;0.3887;1
100004;LA PERLA;COSECHA;BOTADA DE VASTAGO X CONTRATO;REG SUR;38.35728;RACIMO CORTADO;G04;0.3887;1
100004;ARACATACA;COSECHA;BOTADA DE VASTAGO X CONTRATO;REG SUR;38.35728;RACIMO CORTADO;G05;0.3887;1
100004;BOCATOMA;COSECHA;BOTADA DE VASTAGO X CONTRATO;REG SUR;38.35728;RACIMO CORTADO;G04;0.3887;1
100004;JOYA;COSECHA;BOTADA DE VASTAGO X CONTRATO;CONT01;38.35728;RACIMO CORTADO;G04;0.3887;1
100004;ESMERALDA;COSECHA;BOTADA DE VASTAGO X CONTRATO;CONT01;38.35728;RACIMO CORTADO;G04;0.3887;1
100004;NARANJOS;COSECHA;BOTADA DE VASTAGO X CONTRATO;CONT01;38.35728;RACIMO CORTADO;G04;0.3887;1
100004;YUNQUE;COSECHA;BOTADA DE VASTAGO X CONTRATO;CONT01;38.35728;RACIMO CORTADO;G04;0.3887;1
100004;DONAMA;COSECHA;BOTADA DE VASTAGO X CONTRATO;CONT01;38.35728;RACIMO CORTADO;G04;0.3887;1
100004;BURDEOS;COSECHA;BOTADA DE VASTAGO X CONTRATO;CONT01;38.35728;RACIMO CORTADO;G04;0.3887;1
100004;DON MARCE SUR 2;COSECHA;BOTADA DE VASTAGO X CONTRATO;ORG SUR;38.35728;RACIMO CORTADO;G04;0.3887;1
100004;LAS MARGARITAS;COSECHA;BOTADA DE VASTAGO X CONTRATO;ORG SUR;38.35728;RACIMO CORTADO;G04;0.3887;1
100004;LA CECILIA;COSECHA;BOTADA DE VASTAGO X CONTRATO;ORG SUR;38.35728;RACIMO CORTADO;G04;0.3887;1
100004;JOSEFINA;COSECHA;BOTADA DE VASTAGO X CONTRATO;ORG SUR;38.35728;RACIMO CORTADO;G04;0.3887;1
100004;SAN ALFREDO;COSECHA;BOTADA DE VASTAGO X CONTRATO;ORG SUR;38.35728;RACIMO CORTADO;G04;0.3887;1
100004;VICTORIA;COSECHA;BOTADA DE VASTAGO X CONTRATO;ORG SUR;38.35728;RACIMO CORTADO;G04;0.3887;1
100004;CIRCASIA;COSECHA;BOTADA DE VASTAGO X CONTRATO;ORG SUR;38.35728;RACIMO CORTADO;G04;0.3887;1
100004;CIÉNAGA;COSECHA;BOTADA DE VASTAGO X CONTRATO;ORG SUR;38.35728;RACIMO CORTADO;G04;0.3887;1
100004;MARÍA;COSECHA;BOTADA DE VASTAGO X CONTRATO;ORG SUR;38.35728;RACIMO CORTADO;G04;0.3887;1
100004;REMANSO;COSECHA;BOTADA DE VASTAGO X CONTRATO;ORG SUR;38.35728;RACIMO CORTADO;G04;0.3887;1
100004;PIEDECUESTA;COSECHA;BOTADA DE VASTAGO X CONTRATO;ORG SUR;38.35728;RACIMO CORTADO;G04;0.3887;1
100004;NÁUTICA;COSECHA;BOTADA DE VASTAGO X CONTRATO;CESAR;37.81088;RACIMO CORTADO;G05;0.3887;1
100004;LAS LINAS;COSECHA;BOTADA DE VASTAGO X CONTRATO;LINAS;41.449904;RACIMO CORTADO;G04;0.3887;1
100004;DON ALÍ;COSECHA;BOTADA DE VASTAGO X CONTRATO;ORG NORTE;41.449904;RACIMO CORTADO;G04;0.3887;1
100004;DR4 DON ALÍ;COSECHA;BOTADA DE VASTAGO X CONTRATO;ORG NORTE;41.449904;RACIMO CORTADO;G04;0.3887;1
