FINCA;2024-01;2024-02;2024-03;2024-04;2024-05;2024-06;2024-07;2024-08;2024-09;2024-10;2024-11;2024-12;TOTAL
SAN ANTONIO;1931564.72;1931564.72;2414455.9;1931564.72;1931564.72;2414455.9;1973555.2573913045;2466944.0717391307;1973555.2573913045;1973555.2573913045;2466944.0717391307;1973555.2573913045;25383279.853043474
MRS;1094963.44;910419.0399999999;953479.3999999999;762783.5199999999;762783.5199999999;953479.3999999999;779365.7704347826;974207.2130434782;779365.7704347826;779365.7704347826;974207.2130434782;779365.7704347826;10503785.827826086
DON FUAD;2386774.2399999998;2386774.2399999998;2983467.8;2386774.2399999998;2386774.2399999998;2983467.8;2438660.636521739;3048325.795652174;2438660.636521739;2438660.636521739;3048325.795652174;2438660.636521739;31365326.697391298
EUFEMIA;3764705.76;3764705.76;4705882.199999999;3764705.76;3690887.9999999995;4505959.1;3683131.7860869565;4603914.7326086955;3683131.7860869565;3683131.7860869565;4603914.7326086955;3683131.7860869565;48137203.18956521
OLGA;652056.88;652056.88;815071.1;652056.88;652056.88;815071.1;666232.0295652174;832790.0369565218;666232.0295652174;666232.0295652174;832790.0369565218;666232.0295652174;8568877.912173914
DON SAID;7566320.399999999;7566320.399999999;9457900.5;7566320.399999999;7566320.399999999;9457900.5;7730805.626086957;9663507.032608697;7730805.626086957;7730805.626086957;9663507.032608697;7730805.626086957;99431319.1695652
ASUNTINA;3420222.88;3420222.88;4275278.6;3420222.88;3420222.88;4275278.6;3494575.551304348;4368219.439130435;3494575.551304348;3494575.551304348;4368219.439130435;3494575.551304348;44946189.803478256
PORLAMAR;6729719.119999999;6729719.119999999;8412148.899999999;6729719.119999999;6729719.119999999;8412148.899999999;6876017.361739131;8595021.702173913;6876017.361739131;6876017.361739131;8595021.702173913;6876017.361739131;88437287.13130434
EL MORRO;664359.84;664359.84;830449.7999999999;664359.84;664359.84;830449.7999999999;678802.4452173914;848503.0565217391;678802.4452173914;678802.4452173914;848503.0565217391;678802.4452173914;8730554.853913043
LA PERLA;762783.5199999999;762783.5199999999;953479.3999999999;762783.5199999999;762783.5199999999;953479.3999999999;779365.7704347826;974207.2130434782;779365.7704347826;779365.7704347826;974207.2130434782;779365.7704347826;10023970.387826085
ARACATACA;3801614.6399999997;3801614.6399999997;4752018.3;3801614.6399999997;3801614.6399999997;4752018.3;3884258.4365217392;4855323.045652174;3884258.4365217392;3884258.4365217392;4855323.045652174;3884258.4365217392;49958174.997391306
BOCATOMA;1796232.16;1796232.16;2245290.1999999997;1796232.16;1796232.16;2245290.1999999997;1835280.6852173915;2294100.856521739;1835280.6852173915;1835280.6852173915;2294100.856521739;1835280.6852173915;23604833.493913043
JOYA;3112648.88;3112648.88;3890811.0999999996;3112648.88;3112648.88;3890811.0999999996;3180315.16;3975393.95;3180315.16;3180315.16;3975393.95;3180315.16;40904266.260000005
ESMERALDA;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
NARANJOS;1353325.5999999999;1353325.5999999999;1691656.9999999998;1353325.5999999999;1353325.5999999999;1691656.9999999998;1382745.7217391303;1728432.152173913;1382745.7217391303;1382745.7217391303;1728432.152173913;1382745.7217391303;17784463.591304347
YUNQUE;848904.24;848904.24;1061130.3;848904.24;848904.24;1061130.3;867358.68;1084198.35;867358.68;867358.68;1084198.35;867358.68;11155708.979999999
DONAMA;1857746.96;1857746.96;2322183.7;1857746.96;1857746.96;2322183.7;1898132.763478261;2372665.9543478265;1898132.763478261;1898132.763478261;2372665.9543478265;1898132.763478261;24413218.202608693
BURDEOS;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
DON MARCE SUR 2;898116.08;898116.08;1122645.0999999999;898116.08;898116.08;1122645.0999999999;917640.3426086957;1147050.4282608696;917640.3426086957;917640.3426086957;1147050.4282608696;917640.3426086957;11802416.746956522
LAS MARGARITAS;1513264.0799999998;1513264.0799999998;1891580.0999999999;1513264.0799999998;1513264.0799999998;1891580.0999999999;1546161.1252173912;1932701.4065217392;1546161.1252173912;1546161.1252173912;1932701.4065217392;1546161.1252173912;19886263.833913043
