FINCA;2024-01;2024-02;2024-03;2024-04;2024-05;2024-06;2024-07;2024-08;2024-09;2024-10;2024-11;2024-12;TOTAL;DETALLE
SAN ALFREDO;0.0;0.0;1755000.0;4845000.0;0.0;0.0;0.0;4845000.0;0.0;0.0;0.0;4845000.0;16290000.0;Dotaciones
VICTORIA;0.0;0.0;1755000.0;19000000.0;0.0;0.0;0.0;19000000.0;0.0;0.0;0.0;19000000.0;58755000.0;Dotaciones
CIRCASIA;0.0;0.0;1755000.0;11685000.0;0.0;0.0;0.0;11685000.0;0.0;0.0;0.0;11685000.0;36810000.0;Dotaciones
CIENAGA;0.0;0.0;1755000.0;4940000.0;0.0;0.0;0.0;4940000.0;0.0;0.0;0.0;4940000.0;16575000.0;Dotaciones
MARIA;0.0;0.0;1755000.0;4465000.0;0.0;0.0;0.0;4465000.0;0.0;0.0;0.0;4465000.0;15150000.0;Dotaciones
REMANSO;0.0;0.0;1755000.0;36670000.0;0.0;0.0;0.0;36670000.0;0.0;0.0;0.0;36670000.0;111765000.0;Dotaciones
PIEDECUESTA;0.0;0.0;1755000.0;15770000.0;0.0;0.0;0.0;15770000.0;0.0;0.0;0.0;15770000.0;49065000.0;Dotaciones
NAUTICA;0.0;0.0;1755000.0;41135000.0;0.0;0.0;0.0;31635000.0;0.0;0.0;0.0;31635000.0;106160000.0;Dotaciones
LAS LINAS;0.0;0.0;1755000.0;28310000.0;0.0;0.0;0.0;26600000.0;0.0;0.0;0.0;28025000.0;84690000.0;Dotaciones
DON ALI;0.0;0.0;1755000.0;18620000.0;0.0;0.0;0.0;17765000.0;0.0;0.0;0.0;17765000.0;55905000.0;Dotaciones
DR4 DON ALI;0.0;0.0;1755000.0;1805000.0;0.0;0.0;0.0;1805000.0;0.0;0.0;0.0;1805000.0;7170000.0;Dotaciones
DON CARLOS;0.0;0.0;1755000.0;5605000.0;0.0;0.0;0.0;5605000.0;0.0;0.0;0.0;5605000.0;18570000.0;Dotaciones
EVA NORTE;0.0;0.0;1755000.0;42560000.0;0.0;0.0;0.0;42940000.0;0.0;0.0;0.0;42940000.0;130195000.0;Dotaciones
DON PEDRO;0.0;0.0;1755000.0;21185000.0;0.0;0.0;0.0;21185000.0;0.0;0.0;0.0;21185000.0;65310000.0;Dotaciones
